en_text,jp_text,google_translated,score,semantic_score
This is bigger in scale than I expected.,これはこれは 思った以上のスケールか,This is a scale more than I thought,0.4166666666666667,0.7352668
Where do you think you're going?,どこに行くんですか,Where are you going,0.375,0.71879035
But this should do the trick.,でも　これなら,But if this is,0.2222222222222222,0.27963057
Aya-chan...,彩ちゃん,Aya-chan,0.5,0.9612581
ho,"{\fad(200,200)}{\alpha&HC0&\t(0,1000,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1000,4000,1,\alpha&HB0&)}孤独が{\fad(200,200)}{\alpha&HC0&\t(1000,2120,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2120,5120,1,\alpha&HB0&)}頬を{\fad(200,200)}{\alpha&HC0&\t(2120,3400,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(3400,6400,1,\alpha&HB0&)}濡らす{\fad(200,200)}{\alpha&HC0&\t(3400,4580,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(4580,7580,1,\alpha&HB0&)}　濡らす{\fad(200,200)}{\alpha&HC0&\t(4580,5500,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5500,8500,1,\alpha&HB0&)}けど{\fad(200,200)}{\alpha&HC0&\t(5500,5500,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5500,8500,1,\alpha&HB0&)}",loneliness     Wet   Wet,0.0,0.13036343
so,"{\fad(200,200)}{\alpha&HC0&\t(0,1180,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1180,4180,1,\alpha&HB0&)}私を{\fad(200,200)}{\alpha&HC0&\t(1180,2360,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2360,5360,1,\alpha&HB0&)}空へ{\fad(200,200)}{\alpha&HC0&\t(2360,4960,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(4960,7960,1,\alpha&HB0&)}招くよ{\fad(200,200)}{\alpha&HC0&\t(4960,4960,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(4960,7960,1,\alpha&HB0&)}",I     Invitation,0.0,0.22086449
Hope's waiting for me on the other side,"{\fad(200,200)}{\alpha&HC0&\t(0,1060,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1060,4060,1,\alpha&HB0&)}希望が{\fad(200,200)}{\alpha&HC0&\t(1060,2220,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2220,5220,1,\alpha&HB0&)}彼方で{\fad(200,200)}{\alpha&HC0&\t(2220,3180,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(3180,6180,1,\alpha&HB0&)}待ってる{\fad(200,200)}{\alpha&HC0&\t(3180,3180,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(3180,6180,1,\alpha&HB0&)}",hope,0.1111111111111111,0.50184757
UTW Presents,"{\fad(200,200)}{\alpha&HC0&\t(0,1100,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1100,4100,1,\alpha&HB0&)}そうだよ{\fad(200,200)}{\alpha&HC0&\t(1100,1620,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1620,4620,1,\alpha&HB0&)}　行く{\fad(200,200)}{\alpha&HC0&\t(1620,5280,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5280,8280,1,\alpha&HB0&)}よ{\fad(200,200)}{\alpha&HC0&\t(5280,5280,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5280,8280,1,\alpha&HB0&)}",Go,0.0,0.18308581
mo,"{\fad(200,200)}{\alpha&HC0&\t(0,720,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(720,3720,1,\alpha&HB0&)}迷い{\fad(200,200)}{\alpha&HC0&\t(720,1720,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1720,4720,1,\alpha&HB0&)}ながら{\fad(200,200)}{\alpha&HC0&\t(1720,2140,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2140,5140,1,\alpha&HB0&)}も{\fad(200,200)}{\alpha&HC0&\t(2140,3520,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(3520,6520,1,\alpha&HB0&)}　君を{\fad(200,200)}{\alpha&HC0&\t(3520,4680,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(4680,7680,1,\alpha&HB0&)}探す{\fad(200,200)}{\alpha&HC0&\t(4680,5600,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5600,8600,1,\alpha&HB0&)}旅{\fad(200,200)}{\alpha&HC0&\t(5600,5600,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5600,8600,1,\alpha&HB0&)}",Lost     also     Search   Travel,0.0,0.15141614
re,"{\fad(200,200)}{\alpha&HC0&\t(0,360,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(360,3360,1,\alpha&HB0&)}すれ{\fad(200,200)}{\alpha&HC0&\t(360,1480,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1480,4480,1,\alpha&HB0&)}違う{\fad(200,200)}{\alpha&HC0&\t(1480,2400,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2400,5400,1,\alpha&HB0&)}意識{\fad(200,200)}{\alpha&HC0&\t(2400,3130,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(3130,6130,1,\alpha&HB0&)}　手が{\fad(200,200)}{\alpha&HC0&\t(3130,4290,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(4290,7290,1,\alpha&HB0&)}触れた{\fad(200,200)}{\alpha&HC0&\t(4290,4870,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(4870,7870,1,\alpha&HB0&)}よね",Different   Consciousness   hand   Touched,0.0,0.1265087
wa,"{\fad(200,200)}{\alpha&HC0&\t(0,2380,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2380,5380,1,\alpha&HB0&)}それは{\fad(200,200)}{\alpha&HC0&\t(2380,3360,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(3360,6360,1,\alpha&HB0&)}夢の{\fad(200,200)}{\alpha&HC0&\t(3360,5560,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5560,8560,1,\alpha&HB0&)}証{\fad(200,200)}{\alpha&HC0&\t(5560,5560,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5560,8560,1,\alpha&HB0&)}",Dream   certificate,0.0,0.14660783
Ta,"{\fad(200,200)}{\alpha&HC0&\t(0,1320,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1320,4320,1,\alpha&HB0&)}互いを{\fad(200,200)}{\alpha&HC0&\t(1320,2800,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2800,5800,1,\alpha&HB0&)}受け止める{\fad(200,200)}{\alpha&HC0&\t(2800,3860,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(3860,6860,1,\alpha&HB0&)}度に{\fad(200,200)}{\alpha&HC0&\t(3860,5460,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5460,8460,1,\alpha&HB0&)}惹かれてく{\fad(200,200)}{\alpha&HC0&\t(5460,5460,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(5460,8460,1,\alpha&HB0&)}",each other   Receiving      attracted,0.0,0.11413378
Ka,"{\fad(200,200)}{\alpha&HC0&\t(0,1300,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(1300,4300,1,\alpha&HB0&)}悲しい{\fad(200,200)}{\alpha&HC0&\t(1300,2290,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2290,5290,1,\alpha&HB0&)}日々は{\fad(200,200)}{\alpha&HC0&\t(2290,2920,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(2920,5920,1,\alpha&HB0&)}もう{\fad(200,200)}{\alpha&HC0&\t(2920,4580,1,\1a&H00\2a&H00\3a&H00\4a&H00\t(4580,7580,1,\alpha&HB0&)}いらない",Sad   Daily days,0.0,0.16473177
