en_text,jp_text,google_translated,score,semantic_score
dame da yo koko kara saki wa,别再靠近 那前方,Retail reconnaissant,0.0,0.12947693
ugomeku yami wo kizami sagasu no hikari no sora,蠢动的黑暗如此刻骨 在昏暗的天空下彷徨,蠢 下 下 下 下 下 下,0.0,0.24007115
tobitachitai no habatakitai,碎骨软羽飞不成,碎 羽 不,0.0,0.23670153
"I want to fly, I want to beat my wings",我无力改变,I'm sorry,0.1,0.17883104
A red butterfly flutters around me,摇摇欲坠之红蝶,摇摇 摇摇 butterfly,0.14285714285714285,0.47633883
Where did they bring me?,ここは　どこ,Where am I,0.125,0.33251995
What are they going to do to me?,私　どうなってるの,What is,0.1111111111111111,0.10221079
Scalpel.,メス,Falsity,0.0,0.16381437
"Hey, can't you shut him up already?",おい　いい加減黙らせろ,Good silency shut up,0.16666666666666666,0.33809382
Maybe we didn't give him enough anesthesia.,麻酔が足りてないじゃないか,I'm not enough anesthesia,0.16666666666666666,0.6514192
"We did, but the virus is neutralizing all of it.",それが　どれだけ投与しても　ウイルスが無効化してしまっている,Virus is disabled even if it is administered,0.1875,0.41926056
"The pupa virus, huh?",ピューパウィルスか,Peaper virus,0.14285714285714285,0.47389442
The organs I removed have already regenerated.,見ろ　先取り出した臓器がもう再生している,The organs that have taken out of the view are already playing,0.26666666666666666,0.49552414
This thing is no longer human.,これは　人間ではないな,This is not a human,0.3333333333333333,0.6684749
Onii-chan...,お兄ちゃん,brother,0.0,0.20448422
We're not like that woman.,安心したまえ　私たちはあの女とは違う,"With confidence, we are different from that woman",0.2307692307692308,0.6049451
We'll be using the data we gather from you for the good of humanity.,君たちのデータは人類の未来のために貢献させてもらう,Your data will contribute to the future of humanity,0.21052631578947367,0.8043043
"and when you're cold to me, I want to cry,",你的冷淡叫人哭泣,Cold screaming,0.08333333333333333,0.5394385
