en_text,jp_text,google_translated,score
Edited at https://subtitletools.com what is the cause of the massive mosquito outbreak this year?,⑭キヤス夕一 今年の蚊の大量発生の原困は 一体何なの力ヽ!?一,14 Kiyas Yunichi's big amount of mosquito of this year's mosquito is integrated? What is the power of?,0.3333333333333333
"To find out, we'll ask Mr. Kafetch, a mosquito expert who has published several books on the subject.",⑭蚊の専門家であり 本も出されている 力一フ工チ氏に来亡いただきました,14 Mosquito experts and books have also been issued to Mr. Mosquito.,0.17857142857142858
Thank you for having me on.,⑭力一フ工チ よろしくお願いいたしま曹一,14 Power Fifth Instruments Thank you very much.,0.23076923076923078
We interrupt this program to bring you breaking news.,⑭番組の途中で曹が 臨時二ユ一スをお伝えしま曹,14 Sucgin tells the temporary two-shaped one in the middle of the program,0.05
A large swarm of mosquitos has just been spotted in City Z.,⑭Z市に大量の蚊の群れが 集まっていま曹 ! 一,14z Mosquito's flock of mosquitoes is gathered at the city!,0.08695652173913043
We have reports that the attacked livestock were mummified.,⑭顛われた家畜は三イラ化していた との情報が入ってきていま曹一,14 The answered livestock has been in information that it was three illustrated,0.15
"If you encounter a swarm of mosquitos, flee immediately.",⑭万- 蚊の群れと遭遇した際には 必ず逃げてください,"140,000-Be sure to run away when encountering a mosquito flock",0.05
This is an emergency evacuation warning.,⑭アナウンス緊急避難警報で萱 災害レベ丿しは鬼一,14 Announcement Emergency Evacuation Alarm 萱 Disaster Level,0.15384615384615385
No resident is to go outside under any circumstances.,⑭住民は絶対に 外へ出ないようにし亡ください一,14 Please do not go out of the residents absolutely,0.05263157894736842
"I repeat, no City Z resident is to go outside under any circumstances.",⑭繰り返しま曹 Z市の住民は絶対に…,14 Repetitive Suna Za's residents are absolutely ...,0.0
"If I get all this, who cares if I lose a little blood?",ふつ こんだけ蓋つときや 多少蚊に血い吸われてもオッケ一一,Even if it is smelled and slightly mosquito blood and bloody blood is blessed,0.09090909090909091
The wind?,風が?一,Wind?,0.6666666666666666
What the—,うわつ‥ 何だ?,What is it ?. What is it?,0.16666666666666666
"Come on, you guys. That wasn't nearly enough.",ぷはあ一 何よ あんたたち こんなんじゃ全然足んないわよ,Pupa Aichi I'm doing something like this so good,0.0
Target acquired.,ジ工 ノ ス タ一ゲツ 卜捕捉一,Jechanical Nose Takeshi Calculation,0.0
You must be controlling the mosquitos via some sort of signal.,お前が蚊に信号のようなものを送り 操つ亡いたと萱れば,"If you have a mosquito, you have sent you something like a signal",0.1
That would explain their mysterious behavior.,この不可解な集団移動にも 説明力ヾつく,Explanation of this unusual population movement,0.0
"So if I were to get rid of you, the leader,",主人であるお前を排除萱れば一,If you eliminate you who is the master,0.1875
would the swarm disperse too?,この目障りな群れも いな<なるの力ヽ?,This habeling group is also the power of,0.07692307692307693
I am about to eliminate you. stay where you are.,ジェノスお前を排除曹る そのまま動くな,Jenos Extressed Soda Do not move as it is,0.0
Go on and try!,やつ亡みなさい‥,Don't died ..,0.0
"Wait, where are my legs?",私の足は ?,What is my feet?,0.2
What the hell is that guy?,何なのよ あいつ !,What is it!,0.2222222222222222
"The townspeople may all be hiding,",田〕の人間どもは隠れちゃつたけど一,The people of the field are hidden but one,0.07142857142857142
but there are plenty of animals around.,森や自然の動物は別よ…一,Forest and natural animals are different ... one,0.14285714285714285
"Come to me, little ones.",さあ 来なさい あんたたち一,Nice to come,0.25
Dump all your pent-up juices into me!,溜め込んだジユ一スを 私に注いでちょうだい…,Pouring and pouring a guy who has been accumulated by me ...,0.05555555555555555
then it may not simply be a food source for her.,<奴にとって血液は 単なる食糧ではないのか…>一,<Does the blood are not just food?>,0.1
I should put an end to this as soon as possible.,<これは早急に 終わらせたほうが良さそうだな>,<This seems better to finish immediately>,0.11764705882352941
You and I aren't done yet!,俺との決着がまだ着い亡ね一ぞ‥,Final with me is still out of,0.0
You over there.,ジ工 ノ ス そこのお前一,Men's one of you,0.125
"If it senses you, it will immediately attack.",こちらに気づけば 萱ぐ顛ってくるぞ,"If you notice this, it will come out",0.38461538461538464
But you were just a bug.,所 詮 は 虫 力`,After all the insects `,0.0
"You brought all the mosquitos together into one, easy-to-burn swarm.",わざわざ焼却しや曹く 蚊をまとめて向けるとは一,It is one that it will put together and put together a mosquito with cow,0.09090909090909091
so I should have been free to fire away.,ここなら遠慮なく 吹き飛ば曹ことが…,"If this is not heselter, it will be blown off.",0.047619047619047616
What'd you just do? You totally made them bug out!,今の何 ? これが本当の蚊取り閃光一,What is it now? This is a real mosquito tip flash,0.09523809523809523
"Oh, I was just trying to make a joke about the mosquitos being bugs, and...",あ いや 閃光と線香をガけてるんだけど,"Oh, I'm giving a flash and incense",0.23809523809523808
