en_text,jp_text,google_translated,score,semantic_score
Two Athenas?,"（エリカ･ブランデッリ）
アテナが２人？",Two Athena?,0.5,0.9828402
"The ""other"" Athena.",向こうの世界で―,In the other world-,0.25,0.1769532
Metis?,（万里谷祐理(まりやゆり)）メティス？,Metis )?,0.6666666666666666,0.927326
Zeus's first wife and Athena's mother.,"（リリアナ･
クラニチャール）
ゼウスの１人目の妻で",At the first wife of Zeus,0.2727272727272727,0.7943879
Is that the Metis you're talking about?,"アテナの母
あのメティスですか","Athena mother
Is that Metis?",0.3636363636363637,0.6024511
Yeah.,（護堂）ああ,Oh,0.0,0.5345113
She tries to swallow the heavens.,"天を飲み込もうと
してやがる","Trying to swallow heaven
Run",0.2,0.6305163
Swallow the heavens?,天を飲み込む？,Do you swallow heaven?,0.2857142857142857,0.79615957
"Just like her daughter, she's a snake.","娘と一緒で母親も
本性は蛇だからな","Mother with my daughter
This property is a snake",0.1875,0.6658286
Snake goddesses are goddesses of death and darkness that control the underworld.,"蛇の女神は
冥府を治める死の神","The goddess of the snake is
God of death to cure",0.2352941176470588,0.7609061
"Then, this is the prophecy of the Starless Night coming true.","星なき夜の予言が指す
アテナとは―","A star of the night of stars
What is Athena-",0.2352941176470588,0.42259338
That would make sense.,"そいつが地上の空を
丸飲みにして―","That guy
Make a round drink-",0.2222222222222222,0.07911858
"Once Athena regains her true form, our world will fall into ruin.","アテナが真の姿を取り戻す時
世界は崩壊する","When Athena regains a true figure
The world collapses",0.21052631578947367,0.79990447
was really Metis.,メティスのことだったのよ,It was about Methis,0.14285714285714285,0.2714603
ki,"これは本気で
急がなくちゃいけないようです","This is serious
It seems that there is no rush",0.0,0.05770424
CAMPIONE!,"（エリカ）うう…
（護堂）エリカ！","Uh ...
 Erica Erica!",0.2,0.22602774
wo,"（メティス）
フフッ　待っててね アテナ
すぐだから","Wait aft Athena
Because soon",0.0,0.12954696
d,フンッ,Fancy,0.0,0.34153488
ho,（清秋院恵那(せいしゅういんえな)）恵那の天叢雲(あまのむらくも)が！,) Ena's tiecho cloud !,0.0,0.20610195
mo,"（メティス）
フフフッ あれが神殺しね",Huffhuho is killed,0.0,0.15405224
tta,"（メティス）遊んであげる！
（護堂）くっ",Playing!,0.0,0.15911826
ko,"（護堂）あっ
（アテナ）草薙護堂",Kusanagi House,0.0,0.49979544
tou,大丈夫だ,Should be fine,0.0,0.13415122
nu,"でも 蛇の女神は鋼(はがね)の剣とか
英雄が苦手なんだろ？","But the goddess of the snake is a sword of steel 
You're not good at hero?",0.0,0.0027898827
b,"どうしてスサノオの刀を
飲み込めるんだ？","Why Susanoo's sword
Can you swallow?",0.0,0.081554145
your,須左之男命(スサノオノミコト)　ペルセウス,Sumido Left Manto  Perseus,0.0,0.08029057
That courage has materialized into your blade.,"須左之男命は
櫛名田比売(クシナダヒメ)を救うために―","Sumido Left Mante
To save Mt.",0.07142857142857142,0.15119392
Tale of the God-slayer,囚(とら)われの姫を救い出したわね,I saved the princess of the prisoner,0.25,0.22745228
Erica!,"だったら 俺が あいつと戦う！
エリカがアテナを連れて…","If so, I fight with that!
Erica brings Athena ...",0.16666666666666666,0.48553684
"He's the God-slayer, huh?","そして その騎士の思いに
応えるのが 王の務め","And in the thought of the knight
The king's task of responding",0.13333333333333333,0.17916271
I'm not hurt.,"（リリアナ）行くのです　草薙護堂
（護堂）あっ？","I'm going
?",0.2857142857142857,0.22444765
But shouldn't a snake goddess have trouble with a hero's steel sword?,"王が力を取り戻すまで
盾(たて)になるのは騎士の務め","Until king regains power
Knight's custody to be a shield",0.08695652173913042,0.31519157
"Now that you mention it, Perseus used Medusa's head as a weapon",別に一緒に行っても よかったのよ,It was good to go with you separately,0.1,0.04621579
They're basically the same!,万里谷！,Valley!,0.14285714285714285,0.21609591
"Then, she's...",いいえ 残念ですが―,"No disappointing, but",0.125,0.11632612
I guess you could say she's a snake that devours steel.,そんな予感がするのです,I have such a feeling,0.125,0.12995663
the world will be doomed.,つまり 祐理が正妻になると？,"In other words, when Misu will be a right away?",0.125,0.25043285
"If that's the case, I can just fight her!",本当 それでこそ 私の護堂よ,Really that's my holiday,0.13333333333333333,0.16757968
"I doubt you can deal with her,",（祐理）分かりませんが―,I do not understand-,0.09090909090909093,0.13685307
But...,（エリカ）今なら…,Now ...,0.3333333333333333,0.5375466
And it is a King's duty to respond \Nto the wishes of his knights.,"全世界…
だいぶ ひどい状況みたいだ","the whole world…
It looks like a bad situation",0.13636363636363635,0.120630585
Godou-san...,パワースポット？,Power spot?,0.0,0.13077898
Don't worry about me.,"あそこには霊験あらたかな
とっておきの祠(ほこら)がありまして―","There is an inspiration over there
There is a goodbye .",0.07692307692307693,0.09415482
I plan to resume our kiss where we left off.,"（護堂）
んっ？ どこに行くつもりです？",?Where are you going to go?,0.125,0.25293434
Are you saying you'll become his official wife?,じゃあ アテナに記憶がないのは？,Well then there is no memory in Athena?,0.05882352941176471,0.04550797
I'm not sure...,"メティスは すべてを飲み込み
世界を破滅に導こうとしています","Methys swallows all
I'm trying to introduce the world to ruin",0.14285714285714285,0.12693156
So you finally admit it.,"それを成し遂げるには
アテナを取り込む必要がある","To accomplish it
Need to take in Athena",0.08333333333333333,0.039714795
Now I...,抜け殻　うっ…,Shell wicked ...,0.2,0.19004531
Dodge!,はあああっ！,Oh yes!,0.25,0.2777591
The world is being plunged into chaos.,"護堂の息吹が…
護堂の太陽が体の中にある","The breath of Kohito is ...
The Sun of Kohito is in the body",0.13333333333333333,0.12887308
"Yeah, keep going straight.",護堂を感じる,Feel,0.0,0.16349895
"A shrine there has special protective spiritual power that should help hide our presence, if only slightly.",はあっ！,What!,0.0,0.06317042
Kusanagi Godou?,幸せよ　護堂,Happy Kohito,0.0,0.38524663
"That was my snake, was it not?","これ以上の幸せを
感じることはないかもしれない","More happiness
It may not feel",0.16666666666666666,0.111643516
I just can't get used to how you say things.,もしかしたら 私が死ぬまで―,Maybe until I die-,0.06666666666666668,0.15528452
Athena...,だから 消えるまで…,So until it disappears ...,0.16666666666666666,0.13320681
Is that my name?,そのくらい幸せ,That happiness,0.16666666666666666,0.1774295
Eh?,ううっ！,Uh!,0.0,0.5500465
"No, what I used to be, right?",（メティス）えっ 何？,What?,0.2222222222222222,0.13516943
"Part of Athena resides in the Gorgoneion,",（恵那･祐理）海ゆかば水漬く屍(かばね),A sea of the sea,0.2,0.20245938
That's what we've been calling Metis.,山ゆかば苔(くさ)むす屍,Mt.,0.1,0.14013521
"Currently, Athena has no memory or power.",（護堂）力が戻った,power returned,0.1,0.20237347
Old shell...,フゥ…,Hu ...,0.25,0.22068608
Oh? Interesting.,"（アテナ）草薙護堂
（護堂）うん？","Kusanagi House
 Yeah?",0.14285714285714285,0.17205064
I can feel Godou...,ここじゃ調べようもないよな,I can not check here,0.25,0.19089344
...to push back a god?,神とは何なのです？,What is God?,0.2222222222222222,0.36774093
"I'm happy, Godou.","（護堂）ただ…
（アテナ）んっ？","I'm just ...
?",0.2222222222222222,0.2207747
"And that's why, until it fades...","以前は神様ってのは
偉大で全知全能で―","Previously, God is
Great and totally omniscience-",0.13333333333333333,0.1247992
"If I go away to the sea, I shall be a washed-up corpse.","（護堂）
仲間だと思えるくらい　フッ",It seems that it seems to be a friend,0.16666666666666666,0.062409982
Hurry!,あっ 草薙護堂！,Atsushi Kusa Hatsudo!,0.2,0.1430086
My power's back.,なーんだ　神殺しも まだいたんだ,Nanan Masachi was still,0.0,0.1484701
Kusanagi Godou...,（アテナ）ですが…,...,0.3333333333333333,0.18152477
Am I a god?,"（護堂）先に言っておくが
俺は平和主義者だ","to say ahead
I am a peaceist",0.3333333333333333,0.27953422
I don't know.,（護堂）心配するな,Do not worry,0.14285714285714285,0.10342243
But you did call yourself one before.,（護堂）お前は そこに座ってろ,You should sit there,0.09090909090909093,0.1399617
What is a god?,神殺しなんだ,It is a rebirth,0.2857142857142857,0.27411115
"Oh, okay.",だったら 俺は―,"If so, I-",0.14285714285714285,0.23599474
It's just that...,戻る？　戻るのはアテナのほうだよ,return?It is Athena's,0.2222222222222222,0.106041275
Found you!,あっ！,Ah!,0.25,0.34017628
Oh?,それで終わり？,So end?,0.25,0.26154825
"Unfortunately for you, I'm quite resilient.",消えちゃえーっ！,I'm sorry!,0.18181818181818185,0.23102254
You stay back.,草薙護堂！,Kusanagi Hokudo!,0.0,0.07245331
I'll just put this out there.,"（メティス）うう この…
（アテナ）早く… 今のうちに","This ...
 early ... now",0.09090909090909093,0.19744909
I am a pacifist.,俊足にして霊妙なる馬よ,Eyebrow horse with a quick hoa,0.1,0.05410649
"If you release the world from darkness, and go back into Athena,",汝(なんじ)の主(あるじ)たる光輪を疾(と)く運べ！,Carry out the light wheel  the Lord of the House (and,0.09523809523809523,0.29561725
Athena's the only one going anywhere.,アテナ　よけろ！,Athena!,0.1111111111111111,0.7367827
I choose to save my friend.,（アテナ）えいっ！,Easy!,0.0,0.14685988
Friend?,（護堂）ああ… やったか？,Oh ... did you do?,0.14285714285714285,0.29405928
I'll take her by force.,ああっ,After,0.0,0.21529612
Godou...,（メティス）ん…,...,0.5,0.4154507
Die!,（護堂）アテナ！,Athena!,0.3333333333333333,0.35375756
Was that all?,まだ？　何が まだなの？,yet?What is she still?,0.1111111111111111,0.13433759
A-Athena!,戻ったんだから！,Because I came back!,0.16666666666666666,0.24732944
A steed?,何？,what?,0.25,0.18655169
your master demands your immediate presence!,（祐理）目を閉じてください,Please close your eyes,0.1111111111111111,0.21751064
Athena!,フフッ アハハッ ハハハハハ…！,Fuhuhahaha Hahahahaha ...!,0.2,0.0957237
What else can you do?,私を倒す？,Do you defeat me?,0.375,0.14421207
regained...,（恵那）んっ…,...,0.5,0.31484142
my true form!,この…！,this…!,0.2,0.3717241
I won't give up!,猛々しい風までは奪えない！,I can not take it up with a rough wind!,0.21428571428571427,0.37173194
Mariya...,（メティス）ああっ…,Oh ...,0.3333333333333333,0.18631347
"Now that it's come to this, we'll just have to defeat Metis.","あの時みたいに
剣の組み替えが必要よ","That time
You need to recombine the sword",0.09523809523809523,0.24496168
you think you can defeat me?,"ゼウスは恐怖して
妊娠した妻を頭から飲み込んだ","Zeus is fearful
His pregnant his wife swallowed from his head",0.0,0.10832333
"Before you laugh, you might want to take a look here.",それは予言があったからだ,It was because there was a prediction,0.05882352941176471,0.01892419
What is this?,"メティスそっくりの娘
アテナが誕生する","Metis slippery daughter
Athena is born",0.1111111111111111,0.07300199
"The master of that sword, \NSusanoo, is the god of storms.","（護堂）
その後 ゼウスの体から―",Then from the body of Zeus-,0.13333333333333333,0.45806435
How dare you!,"うるさい！　やめろ！
いまいましい言霊が！","Noisy! Stop!
The very good word spirit!",0.09090909090909093,0.1598301
Erica... Liliana...,（エリカ）んっ…,...,0.3333333333333333,0.124119535
We'll need to restructure the \Nsword like we did before.,私が授けるのは純粋な愛,Pure love to give me,0.06666666666666668,-0.004059077
"My King, Liliana Kranjcar renews her oath.","さあ 行きなさい
私のカンピオーネ","Come on
My Campione",0.08333333333333333,0.1777822
"Zeus was fearful,","分かってる
みんな 力を貸してくれ","I know
Everyone lend me power",0.0,0.09668375
