en_text,jp_text,google_translated,score,semantic_score
MARMALADE BOY,♪～,♪ ~,0.0,0.119944766
ima ichiban aitsu no egao wo mitai,～♪,~ ♪,0.0,0.16933626
"Hey, how is this?","（留美(るみ)）
ねえ 千弥子(ちやこ)　これでいいかしら？",Hey Chihiko  This is good with this?,0.4444444444444444,0.30951744
You're good!,"（千弥子）あら 上手じゃない！
あとは これをつければいいわ","I'm not good at it!
You should add this",0.25,0.32327563
It's not an expensive Christmas gift...,"（光希(みき)）高価な
クリスマスプレゼントじゃないけど",") expensive
It is not a Christmas present",0.3333333333333333,0.81231177
...but I know he'll like it.,"光希さんの次でもいい
遊が好きなの","The next of Miki's next
I like playing",0.13333333333333333,0.25148565
I've always loved you.,"（杏樹(あんじゅ)）
ずっと遊が好きだった",I always liked playing,0.25,0.34986013
Ouch!,いてっ！,It is!,0.25,0.3306721
I need to borrow Yuu for one day.,"遊を あした１日 貸してほしいの
（光希）ええっ？","I want you to lend a day to play
 yeah?",0.1875,0.39700955
Just once.,一度だけでいいの,Only once,0.25,0.86555326
...and Yuu hasn't told me\Nanything about that day.,"遊も あの日のこと
何も話してくれないし","Playing with that day
I can not speak anything",0.1111111111111111,0.3967983
"- Hey, Miki!\N- Yuu!","（要士(ようじ)）光希ちゃん！
（光希）は～い！","Miki Miki!
 is ~!",0.2222222222222222,0.76004386
- What do you think?\N- How do they look?,"（千弥子）どう？
（留美）似合う？","How about Chihara?
 matched?",0.15384615384615385,0.14222814
This is for the Christmas party.,"（仁）クリスマスパーティー用に
作ったんだ","for Christmas party
I made it",0.3,0.67093873
Party...?,（２人）パ… パーティーって？,Pa ... Party?,0.75,0.6872443
Christmas should be\Ncelebrated with family.,"クリスマスは
やっぱり 家族で過ごさなきゃね","Christmas
After all, I have to spend my family",0.14285714285714285,0.73547715
This is the first Christmas\Nfor our six-person family.,"（要士）今年は６人家族になって
初めてのクリスマスだからな","Become a family of six people this year
Because it is the first Christmas",0.2777777777777778,0.8630785
I want in!,派手にやるぞ！ ソレ！,I'll do my flashy!Sole!,0.2222222222222222,0.3461726
"No, that's for Santa!","（留美）
違うわよ　サンタにぶたれたのよ",It's different She was beaten by Santa,0.15384615384615385,0.42026043
Akizuki!,"（悟史(さとし)）秋月(あきづき)！
（茗子(めいこ)）三輪(みわ)さん…","Akizuki !
) Miwa  ...",0.4,0.80464804
I have a Christmas Eve plan for us.,"（悟史）あのさ クリスマスの
いいデートプランがあるんだけど","Azusa Christmas
There is a good date plan",0.21428571428571427,0.5546908
But...,（茗子）私…,I ...,0.3333333333333333,0.5995209
"Then, after dinner, we go see\NChristmas carolers at a church.","その２ ディナーのあとは
教会のキャロリングを見に行く","After that 2 dinner
Go to see the carrot of the church",0.21052631578947367,0.54184777
I'm not a Christian...,俺 別にクリスチャンじゃないけど,I'm not a Christian,0.8333333333333334,0.9185333
You can't forget about Mr. Namura?\NDon't worry. I know.,"名村(なむら)のことが
忘れられないってことなら大丈夫","Mamura 
It is okay if you can't forget",0.2222222222222222,0.3957785
...but I want to be alone now.,"ごめんなさい
でも 今は１人でいたいの　お願い","sorry
But now I want to be one person",0.5,0.4719944
What a big Christmas tree!,"（亜梨実(ありみ)）
大きなクリスマスツリー！",Big Christmas Tree!,0.6666666666666666,0.9386113
Seeing it from above makes me\Nfeel like I'm Santa Claus.,"（亜梨実）上から見ると
サンタクロースになった気分ね","From above
I feel like it became Santa Claus",0.5,0.6798379
Um...,フフッ…,Fufu ...,0.3333333333333333,0.3765002
What is it?,"（銀太(ぎんた)）あ… あの…
（亜梨実）なに？",") Oh ... that ...
What is ?",0.375,0.32983857
It's no good.,ダメだ…,It is no good ...,0.42857142857142855,0.8600043
"Arimi, what do you want for Christmas?","亜梨実 クリスマスプレゼント
何が欲しい？","Little fruit Christmas present
What do you want?",0.5,0.6205645
Ginta!,"銀太！
（銀太）何でも言ってくれよ","Silver!
 Please say anything",0.16666666666666666,0.23093347
"What is it, Ginta?","亜梨実
（亜梨実）なに？ 銀太","Subartric fruit
What is ?Silver",0.3333333333333333,0.26323074
"Um, I'm, uh...",よ～し…,Yo ...,0.14285714285714285,0.3636098
Your father and I want you...,"よ～く考えて
杏樹自身で結論を出してほしい…","Thinking
I want you to make a conclusion with Yuki itself ...",0.26666666666666666,0.20380142
Think carefully about it.,そう考えてるの,I think so,0.14285714285714285,0.21809152
"If it fails,\NI'll never see Yuu again.","もし失敗したら
遊に もう会えなくなる","If it fails
I can not see you again",0.3333333333333333,0.45789307
Yuu! Hurry up!,（光希）遊！ 早く早く！ ハハッ…,"Yu!hurry, hurry!Haha ...",0.25,0.7362049
This way!,"こっち こっち！
（遊）ハァ… お前なぁ","over here!
 ha ... you",0.125,0.22728509
If we don't hurry...,"だって
早くしないと バイトの前に―","Because
If you don't get rid of her byte-",0.2307692307692308,0.13003555
...we can't buy gifts\Nfor everyone before work.,"みんなへのプレゼント
全部 買えないよ ねっ？","Present to everyone
You can't buy it all?",0.25,0.6513814
Whatever Lady Miki says.,"へいへい
光希さまのおっしゃるとおりです","Hood
It is like Miki-sama",0.0,0.6225139
I have Mr. Kijima and...,"あとは千弥子ママと茗子と…
（遊）俺は木島(きじま)店長と…","After that, Mom Chikuko and Koji ...
 I am Kitamashima Manager ...",0.2,0.53805506
- What?\N- What's up?,"なに？
（遊）どうしたんだよ？","what?
 What happened?",0.2857142857142857,0.38552862
"Normally, you'd be throwing a fit\Nabout me giving a gift to another girl.","ほかの女の子にプレゼントなんて
いつもなら大騒ぎするだろう","Other girls give a present
It will be a fuss always",0.08695652173913042,0.5495024
You get jealous.,お前 嫉妬深いから,Because you are deep,0.14285714285714285,0.277414
You're awful! That's not true!,"ひどい！ そんなことないよ
（殴る音）",terrible!That's not true,0.5555555555555556,0.64645356
Suzu-chan on Halloween?,"ハロウイーンの
すずちゃんのときは？","Halloween
What is Suzu-chan?",0.5,0.94182694
"Well, that was...","あ… あのときは…
（遊）それ見ろ","Oh ... then ...
 That look",0.25,0.36309907
I see.,"そっか
実は俺も この前 あいつに言われた","I see
Actually I was also told that she was",0.2222222222222222,0.21507138
What was your response?,何て答えたの？,What did you answer?,0.25,0.6233214
I didn't know what to say.,"俺 何と言ったらいいのか
分からなかった","What should I say?
did not understand",0.3333333333333333,0.51718473
Yuu...,遊…,Yu ...,0.3333333333333333,0.8428353
"If you keep this up,\NI'll have to start paying you.","だけど 少しは寝ろよ
今のままじゃ いつか倒れちまうぜ","But let's go to bed a little
If you leave now, she falls someday",0.16,0.08633288
No need for that.\NI just want to play.,"（蛍）いいんだ
俺が弾きたいだけなんだから","good
Because I just want to play",0.3333333333333333,0.6822119
Can I use it again tonight?,"その代わり また今晩 貸してよ
（マスター）ＯＫ","Instead, please lend me tonight again
 OK",0.15384615384615385,0.44448704
I'm fine.,遊 杏樹さんのことで悩んでる,I'm troubled by Yuuki-san,0.2857142857142857,0.16126329
What will happen next?,"一体 これから どうなるんだろう
なんか 不安で たまらないよ","What will happen from now on
Something is anxious and she is unbearable",0.21428571428571427,0.3411532
Welcome!,いらっしゃいませ,Welcome,0.5,0.85401094
What can I get for you?,何を差し上げましょうか,What shall we get up,0.2,0.36727244
"Miki Koishikawa, right?","（礼司）
小石川(こいしかわ)… 小石川光希さんですね？","Koishikawa  ... Miki Koishikawa, isn't it?",0.4444444444444444,0.9131409
Yes.,あっ はい,Yes,0.5,0.83685577
What?! You're Kei-kun's father?,"（光希）
ええっ？ 蛍君のお父さん？",Eh yeah?Fulf's father?,0.2727272727272727,0.376383
"Thank you, Miki-san.","（礼司）ありがとう 光希さん
（光希）“ありがとう”って？","Thank you very much
 ""Thank you""?",0.2,0.33746493
For what?,"失ったことなんてないですよ
（礼司）えっ？","I have lost my loss
?",0.125,-0.004388774
I saw him play the piano again\Nfor the first time in a long while.,"蛍がピアノを弾く姿を
私は久しぶりに見ました","Fireflies play piano
I saw it after a long time",0.4117647058823529,0.56306905
"It's all thanks to you, it seems.","全て あなたのおかげのようだ
（光希）そんな… 私 何も…","Everything seems to be thanks to you
 Such ... nothing ...",0.2857142857142857,0.6609602
I didn't do anything.,"もう二度と ピアノへの興味を
失うことのないように","I'm interested in the piano again
Don't lose",0.2307692307692308,0.11515352
"Miki-san,\Nplease take good care of Kei...","“二度と”って…
蛍君 ピアノへの興味を―","""And"" ...
Interested in fireflus piano-",0.0625,0.15780221
He says that he's playing again\Nbecause I'm around...,"“ピアノが好きで
たまらないんだ”って","""I like piano
""I'm sorry""",0.13333333333333333,0.19582736
...but it actually doesn't matter\Nif I'm there or not.,"本当は
私がいようと いまいと関係ない","Actually
I'm not related to me",0.25,0.24398863
It's the holiday season.,"（桃井）もうすぐクリスマス
世間はホリデーシーズンなのよ","soon Christmas
The world is a holiday season",0.2727272727272727,0.76261365
Wasn't it you who told the students\Nthat taking occasional breaks...,"どこの どなたでしたっけ？
（名村）そうだったな","Where are you?
 That was true",0.1176470588235294,0.18090782
...increased efficiency?,ウ～ン… うん？,U-N ... yes?,0.3333333333333333,0.14273773
"What is it, this early in the morning?",どうしたの？ こんな朝早く,What's wrong?Early morning,0.3333333333333333,0.72599995
Please come to Lizard tonight.,"イブの夜 LIZARDに来てくれ
（光希）えっ？","Come to the night of Eve Lizard
 Eh?",0.25,0.74373865
9 P.M. on Christmas Eve.,"イブの夜９時 LIZARDに
（光希）蛍君…","Eve night 9 o'clock Lizard
 firefl ...",0.18181818181818185,0.5048848
Kei-kun...,"分かった
（蛍）良かった…","Do you get it
 good ...",0.14285714285714285,0.19105534
But I'm coming with Yuu.,"でも 遊と一緒に行く
（蛍）えっ？","But go with you
?",0.2,0.35931122
Merry Christmas!,"（仁･要士）ジャ～ン！
（光希たち）メリークリスマス！","Jung!
 Merry Christmas!",0.75,0.6170615
- It's ready!\N- Here I go!,"ソレソレ！
（仁）よ～し 切るぞ！","Sole Sole!
 ~ I'll cut it!",0.2307692307692308,0.22987223
I helped with the stuffing!,中の詰め物は私が手伝ったんだよ,The filling of the inside was helped me,0.18181818181818185,0.49842027
"What?! Suddenly, I'm nervous.","ゲゲッ！
なんか急に 不安になってきたな","Gege!
Something has suddenly become anxious",0.14285714285714285,0.51855624
"Hey, Satoshi?","（すず）ねえ お兄ちゃん
（悟史）うん？","Hey brother
 Yeah?",0.3333333333333333,0.31474578
Let's invite Yuu over.\NThat would be more fun.,"遊を呼ぼうよ ねっ？
そのほうが楽しいもん","You call your play?
They are more fun",0.1176470588235294,0.19872987
