en_text,jp_text,google_translated,score,semantic_score
No… That's impossible!,（狩矢）宇柿 指示を出せ,Let's give Uba instruction,0.1111111111111111,0.06808127
Restoring Ichigo’s Spiritual Pressure,（ヨシ）う…,...,0.0,0.123692825
would be a piece of cake!,そろそろ いいだろう,It will be nice soon,0.09090909090909093,0.13294715
"Ichigo! Show them, Ichigo!",お前たちの力を見せてくれ,Show me your power,0.125,0.29439563
Right.,"（ヨシ）
すっかり リーダー気取りね",I'm totally reader,0.0,0.14018431
but is that all you've got?!,そう思わない？,Can't you think so?,0.15384615384615385,0.208231
You missed!,（ヨシ）ふん！,Fu!,0.25,0.33948028
"This isn't enough to kill me, Kurosaki!","たとえ 腹に一物(いちもつ)あろうとも
ここは従ってみせるが得策","Even if it is one thing 
It is possible to find out this way",0.15789473684210525,0.040421218
That was the force created \Nfrom swinging my sword.,わしも狩矢に従うとするぞ,I will follow the Kariya,0.07142857142857142,0.12842646
What the hell is this \NSpiritual Pressure?!,どれほどの力になるのか,How long is it?,0.16666666666666666,0.082121
Getsuga…,（馬橋(まばし)）フ… フ… フハハハハ…,) F ... Fu ... Fuhahahaha ...,0.0,0.19971862
Did the Fullbring I gave him,"そういやあ 穀潰しの霊圧が
感じられなくなったけど","Well, the psychic pressure of grain crush
I can not feel it",0.1176470588235294,0.093903825
More than that…to kill me!,助けてくれー！,Help me!,0.2857142857142857,0.24771762
"You feel it, right?","ハァ…
幻覚でも見てたのかな？","Hua ...
Did you see the hallucination?",0.16666666666666666,0.19887067
Rukia…Renji…Byakuya…,ウ… ウソだろ,Uso,0.0,0.1630426
Kenpachi…Ikkaku…Toshiro…,ちょ… ちょっと待ってくれよ,Cho ... Wait a minute,0.0,0.25617898
Unohana…,（りりん）近いかも,It may be near,0.0,0.06731132
Dad…,（一護･りりん）あっ！,!,0.0,0.40283406
Mr. Urahara…,（りりん）人が！,people!,0.0,0.23654279
Yoruichi…,（一護）啓吾(けいご)！,Keiji Kei !,0.0,0.32497022
And even the Old Head Captain.,（りりん）魂魄を…,Soul Soul ...,0.0,0.08371863
"You have all of our powers, Ichigo.",何!?,what!?,0.0,0.11126255
I thought transferring your powers,ヤツら魂魄を吸い取ってる！,I'm sucking my souls!,0.1,0.20396948
to a human was a serious crime.,啓吾 しっかりしろ！　おい！,Keisuzu is a good way! Oi!,0.07692307692307693,0.025688726
I understand the situation.,どけ！　邪魔だ！,Hold! in the way!,0.1111111111111111,0.15705802
"Bring that sword to me, Kisuke Urahara!",ふっ！,Fuck!,0.1,0.15338892
"Head Captain, then…?",誰だ？,Who?,0.16666666666666666,0.14864081
"Even if it means breaking the tradition,",（古賀）古賀 剛(ごう)だ,Takeshi Koga,0.0,0.15316214
it would bring perpetual shame to the,話すつもりはない,I do not intend to talk,0.08333333333333333,0.11986983
This is an order of the Head Captain!,こいつ この間のバウントだよ,This is a bounty this time,0.16666666666666666,0.22225946
Help Ichigo Kurosaki regain \Nhis Soul Reaper powers!,"（一護）あっ…
（りりん）あああ…","...
 ah ...",0.0,0.06392723
That’s how it was.,あんな形だったか？,Was it like that?,0.3333333333333333,0.46423328
"Nice of the Head Captain, \Ndon’t you think?",（ダルク）ハ〜イ お元気？,Hi ~ How are you?,0.125,0.07361209
That power you received is the result,体がうずくわ　ほてるのよ,The body is smiling,0.2222222222222222,0.10127219
of the changes you made to,あなた タイプだわ,You are a type,0.1111111111111111,0.20024115
What is it?!,えっ!?,eh!?,0.3333333333333333,0.19222948
No way...,こ… こいつ,This ...,0.25,0.42895707
There are two reasons why \Nthe Head Captain decided,この体 存分に味わわせてあげる,Let's taste this body,0.0,0.07474358
"The first Substitute Soul Reaper,","（ダルク）
あら そのハチマキ
似合ってたのに","Oh, the honeymaking
I fit",0.2,0.27090955
Kugo Ginjo.,"だけどよ ダラダラと戦うわけには
いかねんだよ","But not fighting with Dalada
I'm sorry",0.0,0.22026482
The first…,小手調べは終わりか？　ダルク,Is it the end of the small hand?Durk,0.1,0.23595192
Substitute Soul Reaper?!,どうなってるの？,How becoming it?,0.125,0.08019523
What’re you talking about?!,（織姫）あるいは？,or?,0.1111111111111111,0.16767867
If the Soul Reaper is deemed,（ルキア）恋次は？,What is Koiwa?,0.1111111111111111,0.06275085
it is customary to give this to them.,この辺のはずだけど,It should be about this side,0.16666666666666666,0.09263125
The Substitute Soul Reaper law \Nwas created for him!,（ジン太）おーい！,!,0.1,0.09686805
Captain Hitsugaya.,（ルキア）まさか 恋次が…,Masaka Koi ...,0.0,0.33423305
You got that right!,お前たちも 一護に合流しろ,Just join you,0.14285714285714285,0.12917496
I’d be dead right now.,見つけたか どうだか,Whether I found,0.1,0.15357229
Why?,"（ニーダー：剣）
いいんじゃな〜い？",Why not?,0.6666666666666666,0.6032516
Mr. Tsukishima is the one I love…,そうだね,I agree,0.125,0.10742447
Why is it that it hurts so much,はばかりながら ３人ですな,It is only three people,0.2,0.06624287
when I see Kurosaki crying?,言うと思った　ふっ！,I thought I was saying!,0.1,0.098474845
Please don’t cry…,"（織姫）
あなたたちの目的もね",You're your purpose,0.0,0.1935564
Please don’t cry!,（一護）とおーっ！,!,0.16666666666666666,0.28796208
Kuchiki…,ぐふっ ああ…,Jufu ah ...,0.0,0.16861722
Why is everybody on Ichigo’s side?!,（一護）あっ！,!,0.1,0.26660115
It’s almost as though…,"ウフフ… ごめんなさい
当たっちゃったかしら？","Uhufu ... I'm sorry
Should I hit it?",0.07142857142857142,0.16634257
"What’s the matter, you two?","自分がやられたのも分からず
死ぬなんて 悲劇でしょ？","I do not know what I was done
Is it tragedy to die?",0.1,0.13845262
That’s odd.,"アハハハハッ
もっとよ もっと！","Ahaha ha ha
More more!",0.0,0.11177233
You don’t believe the \Nmemories you share with me?,（一護の荒い息）,(The rough breath of,0.06666666666666668,0.11612254
Who was it who protected \Nyou from your parents,"（一護）どいてろ！
（りりん）ひゃー！","How is it!
 Bar!",0.08333333333333333,0.042550657
"and raised you,",ふん！,Hmm!,0.0,0.06878904
Chad?,（一護）大丈夫か？,okay?,0.3333333333333333,0.24683957
S-Something’s not right with me…,啓吾に手を出すんじゃねえ,Don't give your hand to Keisuke,0.0,0.17713809
I believe in…,すぐ助ける　心配すんな,I'm worried about help,0.14285714285714285,0.17141056
They’ll become unusable!,では 既に—,Then already-,0.0,0.18436237
Whew. Thank goodness…,（一護）うっ…,Uh ...,0.0,-0.0062209843
"Hey, no fair…",啓吾は連れて帰る,Keisuke will come back,0.0,0.04688979
"Thanks to you carelessly \Nunsettling them,",何をしようとしている？,What are you trying to do?,0.16666666666666666,0.22305876
Now Inoue and Sado have \Nbeen taken out of action.,今 見ているだろう,I'm watching now,0.07142857142857142,0.19795358
"We’ve already moved the \Nothers to a safe place,","我々は
目的達成のために—","we
To achieve the purpose-",0.21428571428571427,0.23443756
Yeah!,（一護･ダルク）はあっ！,!,0.5,0.6513361
"Hold on, you guys!",（一護）うおおおおお！,"Oh, oh!",0.2857142857142857,0.26498908
So this is what it’s like!,でも ダメよ！,But it is not good!,0.25,0.27239627
Wait…,（一護）啓吾 今すぐ…,Keisei Noto ...,0.0,0.12398933
Wonderful!,楽しいわ！,It's fun!,0.2,0.26162902
It’s not nice to leave him out.,だが 我々には通用しない,But do not apply to us,0.14285714285714285,0.18824318
"I thought he had an \Ninteresting ability, though.",（之芭(ノバ)）分かった,I understand,0.09090909090909093,0.08495842
I’ll go.,今 行ったって 助けられない…,I can not help you go now ...,0.18181818181818185,0.35790193
What is this about?,どうしたの？,What's wrong?,0.2857142857142857,0.29049546
Huh?!,（一護）はあっ！,!,0.3333333333333333,0.47689623
"You saw it, didn’t you?",あら？　もう終わり？,fault?Is it over?,0.18181818181818185,0.11779096
A Fullbring that is worn \Nand emitted outward.,（一護）あ… ぐああ…,A ...,0.1,0.17084852
Ikkaku!,（白一護）けっ！,!,0.5,0.32543588
No thanks.,"（白一護）
人を〝これ 〞呼ばわり
するんじゃねえ","People ""this"" call
Don't",0.0,-0.019168291
Who the hell are you?,（古賀）お前は誰だ？,Who is you?,0.42857142857142855,0.6317508
"Hold on, Kuchiki.",あ〜ら,fault,0.0,0.11082578
Switch with me!,てめえらを潰すぜ,Crush me,0.2,0.29330707
“Switch because he looks stronger”?,ハーハハハハ,Hahahahahaha,0.0,0.28025097
"In other words, I look weak to you?","また邪魔しやがるのか
弱いくせによ！","Will I get in the way again
By weak!",0.17647058823529413,0.54792714
Shut up.,て… てめえ またか,... again,0.0,0.36337256
What do you think?!,何… だと…,What did you say…,0.25,0.38197392
is an exceedingly simple \N“increase in power”!,（古賀）お前には それが足りない,You are not enough in you,0.06666666666666668,0.24017876
See?,あら どうなったの？,What happened?,0.25,0.22264178
"Okay then, Ichigo!",コン様だ！,Conjoine!,0.16666666666666666,0.22042286
Didn’t I say it’s Zabimaru?!,俺だって仲間に入れて！,I'm addicted to my friends!,0.13333333333333333,0.06945562
You’re going to let that go?!,"最近 俺様の出番は
どこ行ったんだよ？","Recently my turn
Where did you go?",0.2,0.25820482
