en_text,jp_text,google_translated,score
See you some other day,（一護）クソ！　またかよ。,fucking!See you again.,0.2222222222222222
Kuchiki?!,クソ！,Fucking!,0.25
What in the world's going on?,"月牙天衝と同じような感覚でも
実際の威力は違ぇか！","Even in the same sense as Tsukuninan
Is the actual power difference!",0.1111111111111111
"So, Rukia, will you work for me?",《やってみるか》,"""Do you try?""",0.15384615384615385
It seems that Mabashi has changed.,"アンタには　もう必要ないって
わかったからね。","It is no longer necessary for the ant
I understand.",0.125
That's all.,黒崎一護だ。　さっさと始めようぜ。,I'm Kurosaki.Let's start at least.,0.2
Are you worried?,"（ジャッキー）自己紹介は
まだだったわね　たしか。","Self-introduction
She was still she?",0.125
"I may not be a Bount,\Nbut I'm still one of you.","なんだ…　アンタか。
ぬいぐるみじゃねえんだな。","What is it ... Anta?
I'm not a stuffed toy.",0.22727272727272727
A battle without risks is even worse\Nthan a child's fight.,あるのよ。,There is.,0.16666666666666666
What?!,アンタこそ　なんだよ？　その格好。,What is Anti?Its.,0.2857142857142857
Rukia!!,ねえな！,Hey!,0.3333333333333333
What? No way!,あぁ！？,Ahh!?,0.3333333333333333
Everyone! Oh! I'm flying!,"ちゃんと見てろよ！
（リルカ）嫌だ！","See you properly!
 I hate it!",0.18181818181818182
Oh! Sorry!,はあ～っ！,Oh yeah!,0.5
"E-Everyone, are you all right?",来ないのかい？,Do you not come?,0.2
Understood!,３！,3!,0.3333333333333333
Kuchiki!,はっ！,Hey!,0.3333333333333333
No! I can't! I can't do it!,ぐっ…　うわっ！,Gull ... I'm sorry!,0.18181818181818182
Ow--!,ぐあっ！,Give!,0.25
Are you all right?,わかったかい？,Did you understand?,0.2857142857142857
"No ""ows"", you idiot!",《蹴りが重くなってる…》,"""Kick is heavy ...""",0.16666666666666666
Hado 33! Sotatsui!!,"はあっ！
ぐあ！","What!
Vehic!",0.16666666666666666
It seems that the Bounts are attacking\Nliving humans at random.,ずっと　きれいでかわいいままよ。,It's always beautiful and cute.,0.125
I do!,私は汚れたりなんかしない。,I don't get dirty.,0.2857142857142857
We're friends.,（リルカ）はぁ～あ。,is ~.,0.16666666666666666
Never!,やった！,Hooray!,0.3333333333333333
So it's not as if I don't understand,"黒崎一護！
いつまでスカしてんだ　テメエは！！","Kurosaki's protection!
I'm going to squeeze it forever Temee is!!",0.15
"Besides that, I'm not as weak as I look.",生身の体で戦ってんだ。,I'm fighting with my body.,0.21428571428571427
"Orihime, are you all right?!","まだ　そんなことも
気づかないのかよ？","Such things are still
Do you not notice?",0.21428571428571427
I can't get enough!\NI can't get enough of this!,バカの　ひとつ覚えかよ！,I remember one of the stupid!,0.23076923076923078
This is a bad wound! At this rate…,"すぐに肉片になって
死ぬって言ってんだよ！","Immediately become a meat
I said to die!",0.13333333333333333
Use it while I still have power!,アンタの　その技　穴だらけなんだよ！,It's not the skill of the anti!,0.14285714285714285
"Kurosaki, Ishida, and Sado as well.","そして
３発連続で使ったあとに…。","and
After using three consecutive steps ....",0.14285714285714285
