en_text,jp_text,google_translated,score
"Shouldn't her blood be boiling, then?",なにわって入ってるんですか,Are you entering?,0.08333333333333333
"For that matter, how did an alien catch a cold in the first place?",二人のために世界はある,There is a world for two people,0.09523809523809523
We don't have any immunity to Earth viruses.,胸にときんとさしまぴゃ,Chest to chest,0.09090909090909091
I'll be all right.,そうなんですかっと,That's right,0.125
And you know what they say about people who don't catch colds...,愛　ニャル子と二人,Love Nyalko and two people,0.11764705882352941
Powerful aliens can have the most random weaknesses at times.,ラベンダーの香りをかえても戻れない,I can not return to the scent of lavender,0.1111111111111111
Ha-Hakushon Great Deity!,じゃ　私　真尋さんを　愛していて　いいんです,Well then I love you,0.0
What are you going to do if it gets worse?,だったら私もニャル子と何を確める,"If so, I will also confirm what Nyalko",0.1111111111111111
I see...,な　何を確かめたってんだよ,I have confirmed something,0.16666666666666666
"Boy,",次いでに少年の何を,What is the boy's,0.16666666666666666
We don't have to act engaged anymore.,遊びに行かない,Do not go to play,0.16666666666666666
It's only natural to add more character routes later on.,これから皆で,From now on,0.07142857142857142
That's it! I'm going to school with you after all—,"{\fad(150,150)\be35}{\t(\fscx115)}{\org(-5000,436)\frz-0.1\t(0,250,\frz0)\t(350,850)}這い寄りますか？ せーのうねり！\N潜行吧 星之波动",Do you get close?Sea wavy!\ N Diving 吧 之 动,0.08
Who dares hinder my love?,"{\fad(150,150)\be35}{\t(\fscx115)}{\org(-5000,436)\frz-0.1\t(0,250,\frz0)\t(350,850)}誰だ守り抜け　my my love\N哪个家伙 守卫到底 my my love",Who is the guardian MY MYLOVE \ N 哪 伙 伙 MY My LOVE,0.21428571428571427
"All comers, both shallow and deep","{\fad(150,150)\be35}{\t(\fscx115)}{\org(-5000,436)\frz-0.1\t(0,250,\frz0)\t(350,850)}浅き深き者共よ　ハッ！\N深潜者们哟 ha！",Shallow guys!\ N deep party 哟 ha!,0.14285714285714285
Looks like this is it,"{\fad(150,150)\be35}{\t(\fscx115)}{\org(-5000,436)\frz-0.1\t(0,250,\frz0)\t(350,850)}限界みたいだよ（SAN値！ピンチ！SAN値！ピンチ！）\N看似到了极限（SAN值！危机！SAN值！危机！）",It looks like the limit  \ N Unique arrival limit (SAN 值! Saku! San 值!,0.1875
My sanity gets blown to bits,"{\fad(150,150)\be35}{\t(\fscx115)}{\org(-5000,436)\frz-0.1\t(0,250,\frz0)\t(350,850)}出でよ喰らう者共よ　ハッ！\N出来吧 吞噬空间的怪物们 ha！",}}}I'm sorry!\ N 吞噬 吞噬 吞噬 们 HA!,0.0
