en_text,jp_text,google_translated,score
And leave the rest to us.,もうホームルーム終わったよ,The home room was over,0.09090909090909091
What?!,ふあ～　春香は？,What is Haruka?,0.4
"President Mitsuki,  \Nyou look a lot like Yuu-chan.",ああ…,Ah…,0.0
N-Not entirely...,えッ…,E ...,0.25
"So, what did...",しずくちゃん達は何を…,What is Shizuku ...,0.2857142857142857
It's all right!,しずくちゃんってば　罪つくりね,"If you're sorry, it's a crime",0.16666666666666666
"when I bring my face close to hers, too!","抹茶！
でも　私は","Matcha!
but, I",0.23076923076923078
I wonder just what situation would prompt,あえてチーズケーキとか,I'm a cheese cake,0.09090909090909091
"but as soon as she lets her guard \Ndown, you're all she talks about.",起こしてよ,Get up,0.0
You're the same.,"こうしてると家族みたい
そうかもね","These are the family
Maybe so",0.1
Yuu-chan talks about me \Nwhen I'm not around...,（楓）すみません　急にお誘いして,I'm sorry Suddenly,0.16666666666666666
It's kind of unfair.,それは　お茶しながらで,It is with tea,0.1111111111111111
Huh?,（美月）何なの？　話って,What is it?Talk,0.16666666666666666
Does she mean...,（春香）あッ…　エヘッ,... Eheh,0.2
Big Sister                            Little Sister,そう…,Yes…,0.0
But what if she doesn't like it?,"むしろ　すぐ来たから
混んでるんじゃないの？","Because I came soon
Isn't it crowded?",0.2
How did you know what I like?,"あたし　とっとくよ
分かった","I'm sorry
Do you get it",0.15384615384615385
We were right!,じゃあ　私達が注文してくるわ,Well then we will order,0.125
Yes...,"行きましょう
はい","let's go
Yes",0.2
"President Mitsuki,","やっぱり　美月会長と春香で
席とっといて","After all Mitsuki President and Haruka
There is a seat",0.18181818181818182
so I want to do something together.,かすりもしない,I do not care,0.2
...that.,えっとですね…,It is fine ...,0.16666666666666666
This is the one and only \Nculture festival we'll ever have,目元が…　あと鼻と口も,The eyes ... and the nose and mouth,0.125
Girls! Strategy meeting!,"あッ！
何？","!
what?",0.16666666666666666
Huh?!,"あッ　花飾りが！
（美月）へッ？","Floral ornament is!
?",0.3333333333333333
What should we do?,それで　何の…,So what ...,0.14285714285714285
"She doesn't look like the type we \Ncould bribe with food, like Yuu...","全部じゃないです　ほっぺは
優ちゃんのほうが　もっちりしてて","It's not all the cheeks
She is more like her",0.13043478260869565
I don't think there's much \Nwe can do except ask.,＜（美月）すごく見つめられている＞,< I'm very staring very much>,0.11764705882352941
"Yeah, I guess that's our only option...","私　直します
いいわよ　自分でやるわよ","Lys
Good, I will do my own",0.125
Is it bad I came?,どんな状況なのかしらね,What kind of situation is it,0.2
"Haruka, buy me a green tea latte!","春香さんも
同じね","Mr. Haruka
Same thing",0.08333333333333333
What? Do I have enough?,私と優ちゃんが？,Do you and your grandfather?,0.2
Oh? I might not...,"＜優ちゃん
私の知らない所で＞","<Yu-chan
Where I do not know>",0.16666666666666666
"Sorry, wait a second...",＜私の話を…＞,<My story ...>,0.1
"Yay, green tea!",＜それって　つまり＞,"<So, that is true>",0.09090909090909091
Drink Coupon,＜ずっと一緒だった自分の妹が＞,<My sister who was always together>,0.0
President Mitsuki's declaration of war?!,"＜私に　やきもち
やいてるってこと～！？＞","<Mochi to me
What do you do!?>",0.125
Some other day...,"文化祭のグループ発表
あるじゃないですか","Cultural Festival Group Announcement
Is there not to be",0.0
President Mitsuki!,＜正解！＞,<Correct!>,0.16666666666666666
Shall we call it a day?,それで何の用なの？　呼び出して！,So what is it for?Call!,0.25
I couldn't get President Mitsuki to agree...,"美月会長にも
手伝ってもらおうと思って","Mitsuki Chairman
I'm thinking of getting help",0.13333333333333333
What?,"ちょっと　作戦会議
えッ？","Strategic conference
Eh?",0.2
