en_text,jp_text,google_translated,score
Episode 10    Progressor,♬～,♬ ~,0.0
"Two o'clock, in formation number 5.",約48時間ぶりの空気,Air for the first time in about 48 hours,0.0625
How could I trust you?!,ごめんなさ～い！,I'm sorry!,0.2222222222222222
You did an amazing job.,おいしゅうございますね,Thank you very much,0.1111111111111111
I have a condition.,"(ﾍﾞﾙﾓｯﾄ)
おお おお 派手にやってんな～","Oh, I'm a flashy ~",0.2
What was the body that Halter used?,"だったら お嬢さんがﾁｭｰﾝした
このﾎﾞﾃﾞｨｰを信じな","If it was, the grandmother tuned
Believe this body",0.2
Don't tell me you have all of the \Nworld's weapons blueprints—,さあ 行こうか,Let's go,0.06666666666666667
This is amazing!,≪(ﾊﾟｲﾛｯﾄ)何だ このｵｰﾄﾏﾀは!?➡,« What is this mauteuma!?,0.375
Sorry for the wait.,"さあ 俺のために死ぬ気で
腰を動かしな！","Come on to die for me
Do not move the waist!",0.13333333333333333
I destroyed only the artificial intelligence \Nunit of the heavily-armed automaton Genbu.,"《(ﾏﾘｰ)重装型ｵｰﾄﾏﾀに
ﾊﾙﾀｰの脳をつなげって》",""" Spirited Automata
Connecting the brain of Harter",0.1111111111111111
I can't believe it. You really did it.,"簡単に言ってくれるぜ
ナオトちゃんよ","I'll say it easily
Naoto-chan",0.15384615384615385
"Now, it's your turn.","《気楽だったけど》
《ひでえこと言いやがる》","""It was easy""
""Hide""",0.08333333333333333
I know!,"《別に どうなろうが
知ったこっちゃないから》","""How about it
I know because I know",0.25
"even if he's dead, smelling the scent \Nof the battlefield will bring him back.",《他ならぬ あの旦那本人さ》,"""That's the other of the other people""",0.09090909090909091
In the worst imaginable mood to boot.,"《はあ!? 敵のど真ん中で
重装型ｵｰﾄﾏﾀを》","""Ha!? In the middle of the enemy
Spailed automata """,0.11764705882352941
Got it?,《都合よく鹵獲しろって!?》,"""Do you get rid of it?""",0.2
I'll do it!,へッ！,Heart!,0.16666666666666666
Testing the nerves: 6.1 seconds.,"《天御柱にも
配備されている》","""Even in the pillars
Deployed """,0.08333333333333333
A total of 26 seconds.,"《オベロンと同じ
設計思想だし》","""Same as Oberon
It is a design idea.",0.14285714285714285
