en_text,jp_text,google_translated,score
"Even Pisceses, who are stubborn, will have to face the fact that their parents will not grant what they asked for today.",なん～ってね,What,0.043478260869565216
Oh! A snow mark.,"{\k5}{\fad(150,150)}{\r\t(0,111,\1c&H008080FF&\fscx110\fscy110)\t(551,104,\1c&H009356ED&\fscx100\fscy100)}{\k55}わ{\r\t(550,621,\1c&H008080FF&\fscx110\fscy110)\t(901,669,\1c&H009356ED&\fscx100\fscy100)}{\k35}ー{\r\t(900,981,\1c&H008080FF&\fscx110\fscy110)\t(1301,974,\1c&H009356ED&\fscx100\fscy100)}{\k40}い{\r\t(1300,1351,\1c&H008080FF&\fscx110\fscy110)\t(1551,1299,\1c&H009356ED&\fscx100\fscy100)}{\k25}！{\r\t(1550,1551,\1c&H008080FF&\fscx110\fscy110)\t(1551,1759,\1c&H009356ED&\fscx100\fscy100)}{\k0}　{\r\t(1550,1691,\1c&H008080FF&\fscx110\fscy110)\t(2251,1639,\1c&H009356ED&\fscx100\fscy100)}{\k70}大{\r\t(2250,2311,\1c&H008080FF&\fscx110\fscy110)\t(2551,2369,\1c&H009356ED&\fscx100\fscy100)}{\k30}好{\r\t(2550,2631,\1c&H008080FF&\fscx110\fscy110)\t(2951,2954,\1c&H009356ED&\fscx100\fscy100)}{\k40}き{\r\t(2950,3221,\1c&H008080FF&\fscx110\fscy110)\t(4301,3099,\1c&H009356ED&\fscx100\fscy100)}{\k135}な{\r\t(4300,4401,\1c&H008080FF&\fscx110\fscy110)\t(4801,4419,\1c&H009356ED&\fscx100\fscy100)}{\k50}こ{\r\t(4800,4881,\1c&H008080FF&\fscx110\fscy110)\t(5201,4889,\1c&H009356ED&\fscx100\fscy100)}{\k40}と{\r\t(5200,5261,\1c&H008080FF&\fscx110\fscy110)\t(5501,5259,\1c&H009356ED&\fscx100\fscy100)}{\k30}が{\r\t(5500,5541,\1c&H008080FF&\fscx110\fscy110)\t(5701,5559,\1c&H009356ED&\fscx100\fscy100)}{\k20}あ{\r\t(5700,5741,\1c&H008080FF&\fscx110\fscy110)\t(5901,5774,\1c&H009356ED&\fscx100\fscy100)}{\k20}る{\r\t(5900,5951,\1c&H008080FF&\fscx110\fscy110)\t(6151,5974,\1c&H009356ED&\fscx100\fscy100)}{\k25}と{\r\t(6150,6201,\1c&H008080FF&\fscx110\fscy110)\t(6401,6239,\1c&H009356ED&\fscx100\fscy100)}{\k25}ね",over    !      big       a     and     Oh     and,0.3333333333333333
Really?,"{\k5}{\fad(150,150)}{\r\t(0,181,\1c&H008080FF&\fscx110\fscy110)\t(901,224,\1c&H009356ED&\fscx100\fscy100)}{\k90}地{\r\t(900,1051,\1c&H008080FF&\fscx110\fscy110)\t(1651,1064,\1c&H009356ED&\fscx100\fscy100)}{\k75}球{\r\t(1650,1761,\1c&H008080FF&\fscx110\fscy110)\t(2201,1814,\1c&H009356ED&\fscx100\fscy100)}{\k55}の{\r\t(2200,2311,\1c&H008080FF&\fscx110\fscy110)\t(2751,2304,\1c&H009356ED&\fscx100\fscy100)}{\k55}絵{\r\t(2750,2821,\1c&H008080FF&\fscx110\fscy110)\t(3101,2794,\1c&H009356ED&\fscx100\fscy100)}{\k35}は{\r\t(3100,3131,\1c&H008080FF&\fscx110\fscy110)\t(3251,3144,\1c&H009356ED&\fscx100\fscy100)}{\k15}グ{\r\t(3250,3281,\1c&H008080FF&\fscx110\fscy110)\t(3401,3294,\1c&H009356ED&\fscx100\fscy100)}{\k15}リ{\r\t(3400,3431,\1c&H008080FF&\fscx110\fscy110)\t(3551,3444,\1c&H009356ED&\fscx100\fscy100)}{\k15}ー{\r\t(3550,3581,\1c&H008080FF&\fscx110\fscy110)\t(3701,3624,\1c&H009356ED&\fscx100\fscy100)}{\k15}ン{\r\t(3700,3751,\1c&H008080FF&\fscx110\fscy110)\t(3951,3744,\1c&H009356ED&\fscx100\fscy100)}{\k25}で{\r\t(3950,3981,\1c&H008080FF&\fscx110\fscy110)\t(4101,3994,\1c&H009356ED&\fscx100\fscy100)}{\k15}グ{\r\t(4100,4131,\1c&H008080FF&\fscx110\fscy110)\t(4251,4159,\1c&H009356ED&\fscx100\fscy100)}{\k15}ッ{\r\t(4250,4291,\1c&H008080FF&\fscx110\fscy110)\t(4451,4279,\1c&H009356ED&\fscx100\fscy100)}{\k20}ド{\r\t(4450,4471,\1c&H008080FF&\fscx110\fscy110)\t(4551,4539,\1c&H009356ED&\fscx100\fscy100)}{\k10}？",place   sphere   of   picture     grayed   Li  -  {\ r \ t  \ t      g   Tsu   de   ?,0.0625
"In this whole wide world, there's bound to be someone who will buy me anything.",わっ,In,0.05555555555555555
"Ah! Yuno-chi, wait!",ビックリー～!!,Bickley ~ !!,0.14285714285714285
It's freezing!,去年までと一緒だ,It is together until last year,0.1111111111111111
"When we wrote this, there were a lot of cicadas, right?",でも美術科の課題がね…,But there is an issue of the art department ...,0.09523809523809523
Hiro-san! Good morning!,ヒロさんえら～い,Hiro-san Eura ~,0.16666666666666666
"For a new year, everyone, Happy New Year!",あと半分ぐらいなのね、夏休み,"I'm about half a half, summer vacation",0.14285714285714285
"But sensei's draw was ""Misfortune"", not to mention that she tried to seal it.",全然遊んでないよね、海も行ってないし,"I'm not playing at all, I have not go to the sea",0.1111111111111111
