en_text,jp_text,google_translated,score
Here it comes.,"食い物だけに
なってしまうほどな","Only eating goods
It becomes so",0.1111111111111111
What do you mean? Who is it?,"つまり横島の頭は
こうなってるわけであーる","In other words, Yokoshima's head is
It is like this",0.11764705882352941
Master Karasu has sent me here.,今の俺には関係ない,I do not matter to me now,0.07692307692307693
Master Karasu?,おお？,Oh?,0.25
He's so cool!,いかんいかんいかん！,Important!,0.16666666666666666
It's totally unfair!,"お宅まで送ってあげましょうね
是非そうしてください","Let's send it to your home
Please do not",0.15384615384615385
"God damn it! Son of a bitch!
I hate God! I hate God!","送ったら部屋の中でね
お茶を１杯頂いて","If you send it in the room
Take a cup of tea",0.15789473684210525
Just ignore him and talk to me.,近頃の子って うへへ,To the nearest child,0.09090909090909091
Shut up!,ハアーッ！,Haa!,0.25
I've got this message for you from my master.,"もう お昼過ぎなのに
顔を見せませんね","Even though it is noon
I can not show my face",0.1
"I need an assistant, so it'd be great
if you could come and help.","とうとう
餓死でもしたかしら","finally
I wonder if it's dying",0.14285714285714285
"The location is Brado Island. It's a small
island in the Mediterranean Sea.",お客さんみたいね,It looks like a customer,0.125
Please find out the rest from my master.,"普段は式神を
しまっておきなさい","Normally the gods
Let me know",0.07142857142857142
So tell himthat I'll pass.,"おキヌちゃん
しっかりして おキヌちゃん","Okinu-chan
I'm firm",0.1
Take this.,この子たちだって,It is this child,0.16666666666666666
It's beautiful!,あー びっくり,Ah!,0.2
It's a very valuable item even historically.,"そんなのに たかられて
よく平気ね","Such a lot
Well flattened",0.07692307692307693
I don't need it.,"あんたとっくに
止まってるんじゃないの","Aunt
I'm not stopped",0.1
So would you accept it?,"で？
今日は何しに来たの？","so?
What did you come today?",0.3
"You totally take your master
for a fool, don't you?","ドクター･カオスって
知ってるでしょ？","Doctor chaos
Do you know?",0.2
"I'd better get going now. I need to go
talk to other Sweepers as well.",ドクター･カオス…,Doctor Chaos ...,0.0
Is that job that complicated?,"あの
「錬金術師」って何ですか？","that
What is the ""alchemist""?",0.3
"Okinu, do you even know the
meaning of what you're saying?","へえ～ なんでまた冥子が
そんなこと知ってるの？","Hey-Why
Do you know that?",0.26666666666666666
May I help you?,どこに現れたの？,Where did you see?,0.25
Terrible service...,でね でね～,"Well, ...",0.2
"Karasu is that Father with the glasses, right?",なぜ日本に？,Why is Japan?,0.16666666666666666
The body of this boy is mine!,どんな秘宝なんですか～？,What kind of treasure is it?,0.15384615384615385
"This boy will die if you don't
do what I ask you to do!",誰の体をもらうんですか～？,Who do you get your body?,0.1111111111111111
"It's true that he's geeky, dumb, not
savvy with money and getting bald,","ふふふ…
そりゃ秘密なのじゃが","Fufu ...
Well, secret of it",0.1
Really? He is?,ええ！ あります～,Yes!There is ~,0.125
So “Father” is just a nickname.,おお！ そうじゃ！,Oh!So!,0.09090909090909091
"I just realized this, but how come
you know about Master Karasu?","せっかく
教えてあげたのに～","Huge
I told you",0.125
"Oh, that's because...",怒ってばーっかり,Angry,0.0
It's an! ART!,"汚ねえぞ！ おい！
はっ 放せよ 放せ","I'm sorry!Oi!
Leave it",0.2
Because this is an airport...,"このねーちゃん
何て馬鹿力なんだ","This ー
What is stupid power",0.2
Signorina Mikami!,アイタタタッ！,Aitata!,0.25
"I know you're tired, but we
don't have a lot of time,","どうにも
ならんかったんだなあ…","Anyway
I didn't have ...",0.16666666666666666
so let me take you to the chartered airplane.,"家へ送ってって
部屋でお茶なんか飲んでも","Send to the house
Even if you drink tea in the room",0.16666666666666666
"There's nothing on the island, you know.","君の姿なら
美神も油断するじゃろう","If you are your figure
Let's shake beauty too",0.1111111111111111
Excuse me!,うわーっ！ ヤダヤダ！,Wow!Yada Yada!,0.2
No way I?,ん？,Yeah?,0.2
"No way I?
Reiko Mikami!",しめた！,I'm sorry!,0.2222222222222222
"Is everything all right, Dr. Chaos?",どっ どこだ？ ここは…,Where is it?here…,0.18181818181818182
There she is!,"どこか欠陥があったかの
こりゃあ","Whether there was a defect somewhere
It is",0.2
I'm so excited!,人格を交換したじゃろがーっ！,I'm exchanging the personality!,0.375
Kill them all!,だあっ！,!,0.25
"Bats! Oh no... I let my guard down,
thinking it was still daytime!","接近してくるか分からないわ
十分注意してね","I do not know if it comes close
Be careful enough",0.08
I'm going to get out of here!,"私これから
シャワーを浴びるけど","From me
I'm going to take a shower",0.2857142857142857
Hey!,はい！,Yes!,0.3333333333333333
The pilots bailed...?,どなたですか？,Who are you?,0.125
"Be careful, guys!","あんなじいさまにされて
たまるか！","It is made to be
Maybe!",0.2
Wait!,ふんがっ！,!,0.5
Do you know the way to save us?,何や 何や 誰や？,Any anyone?,0.09090909090909091
"You show them the ability of the new weapon
created by this genius brain of mine,",電話 切れちゃいましたよ,I'm out of the phone,0.10526315789473684
"N-No, Maria!",てやーっ！,Hey!,0.2
Is he stupid or what?,横島さん 何するんですか,Yoko Island What do you do?,0.2
I'm so happy...,"そこで
大人しくしているんだ","Therefore
I'm making a great deal",0.2
Don't take my happiness away!,"助けて！
助けて美神さーん！","help me!
Help me!",0.1111111111111111
You guys are tough.,"あなた
横島さんじゃありませんね","you
Mr. Yokojima is not",0.1111111111111111
This is a problem... Most of my tools are gone.,"私が美神令子の体と
入れ替わるまで","I am a body of Mejin Order
Until replacement",0.10526315789473684
Who is the enemy?,"１本でいいんですか？
ビール","Is it all right with one?
Beer",0.18181818181818182
Don't you think you can tell us that at least?,"冷蔵庫のビール
取ってくれなーい？","Refrigerator beer
Do you take me?",0.2
Vampire?!,えっ？ ええ,eh?Yes,0.2
"In Medieval Europe, there
were a few pest outbreaks","なーるほど
横島くんと入れ替わって","Well
Change in Yokojima-kun",0.07692307692307693
"However, at least two of those outbreaks
were caused by him, not by the disease.",ふうっ,Fu,0.0
